name,1951-12-31,1952-12-31,1953-12-31,1954-12-31,1955-12-31,1956-12-31,1957-12-31,1958-12-31,1959-12-31,1960-12-31,1961-12-31,1962-12-31,1963-12-31,1964-12-31,1965-12-31,1966-12-31,1967-12-31,1968-12-31,1969-12-31,1970-12-31,1971-12-31,1972-12-31,1973-12-31,1974-12-31,1975-12-31,1976-12-31,1977-12-31,1978-12-31,1979-12-31,1980-12-31,1981-12-31,1982-12-31,1983-12-31,1984-12-31,1985-12-31,1986-12-31,1987-12-31,1988-12-31,1989-12-31,1990-12-31,1991-12-31,1992-12-31,1993-12-31,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31
BORKUM SÜDSTRAND,590.0,594.0,594.0,594.0,595.0,595.0,595.0,595.0,595.0,595.0,596.0,597.0,596.0,596.0,596.0,597.0,598.0,598.0,599.0,600.0,599.0,598.0,599.0,600.0,600.0,599.0,599.0,599.0,599.0,600.0,601.0,602.0,603.0,603.0,603.0,604.0,604.0,604.0,604.0,605.0,604.0,603.0,602.0,603.0,603.0,602.0,602.0,603.0,604.0,604.0,605.0,605.0,606.0,606.0,606.0,607.0,608.0,608.0,607.0,606.0,606.0,606.0,606.0,606.0
BROKDORF,637.0,641.0,641.0,641.0,643.0,643.0,644.0,644.0,643.0,642.0,644.0,644.0,643.0,643.0,642.0,643.0,644.0,644.0,644.0,645.0,644.0,642.0,643.0,644.0,644.0,643.0,642.0,642.0,643.0,643.0,645.0,648.0,649.0,649.0,649.0,650.0,650.0,651.0,652.0,653.0,651.0,651.0,650.0,652.0,654.0,654.0,654.0,655.0,656.0,655.0,656.0,657.0,657.0,656.0,655.0,656.0,657.0,657.0,656.0,655.0,656.0,655.0,656.0,656.0
BÜSUM,641.0,644.0,645.0,646.0,647.0,647.0,647.0,648.0,647.0,647.0,648.0,649.0,648.0,648.0,648.0,648.0,649.0,649.0,650.0,651.0,650.0,649.0,650.0,652.0,652.0,651.0,651.0,651.0,652.0,653.0,655.0,657.0,659.0,659.0,659.0,660.0,660.0,661.0,661.0,662.0,661.0,661.0,659.0,660.0,661.0,660.0,660.0,660.0,661.0,660.0,661.0,661.0,662.0,662.0,662.0,663.0,664.0,664.0,663.0,662.0,662.0,662.0,662.0,662.0
CUXHAVEN/STEUBENHÖFT,633.0,636.0,637.0,637.0,639.0,639.0,639.0,640.0,639.0,638.0,640.0,641.0,640.0,640.0,640.0,641.0,643.0,643.0,644.0,645.0,644.0,643.0,644.0,645.0,646.0,645.0,644.0,644.0,645.0,645.0,647.0,649.0,651.0,650.0,650.0,651.0,651.0,653.0,653.0,653.0,652.0,651.0,650.0,651.0,652.0,652.0,652.0,652.0,652.0,652.0,653.0,654.0,654.0,654.0,653.0,655.0,656.0,656.0,655.0,655.0,655.0,655.0,655.0,654.0
DAGEBÜLL,616.0,617.0,617.0,617.0,618.0,617.0,618.0,618.0,617.0,616.0,617.0,618.0,618.0,618.0,618.0,619.0,620.0,621.0,621.0,622.0,622.0,621.0,622.0,623.0,624.0,623.0,622.0,623.0,623.0,624.0,626.0,628.0,629.0,630.0,630.0,631.0,631.0,633.0,634.0,635.0,635.0,635.0,634.0,635.0,635.0,635.0,635.0,635.0,636.0,636.0,637.0,637.0,638.0,639.0,639.0,641.0,643.0,643.0,642.0,641.0,642.0,642.0,642.0,641.0
EMDEN NEUE SEESCHLEUSE,628.0,631.0,630.0,631.0,632.0,632.0,632.0,632.0,632.0,631.0,633.0,633.0,632.0,631.0,631.0,632.0,633.0,633.0,633.0,635.0,633.0,632.0,634.0,636.0,636.0,635.0,635.0,635.0,636.0,636.0,638.0,640.0,642.0,642.0,642.0,643.0,644.0,645.0,645.0,646.0,644.0,644.0,643.0,644.0,645.0,644.0,644.0,645.0,645.0,645.0,647.0,647.0,648.0,648.0,647.0,649.0,650.0,650.0,649.0,648.0,648.0,648.0,648.0,648.0
HAMBURG-ST.PAULI,660.0,665.0,666.0,666.0,670.0,671.0,672.0,673.0,672.0,671.0,674.0,675.0,674.0,674.0,674.0,676.0,678.0,678.0,679.0,682.0,681.0,680.0,683.0,686.0,686.0,685.0,685.0,687.0,690.0,692.0,696.0,700.0,702.0,703.0,703.0,705.0,705.0,707.0,707.0,707.0,704.0,704.0,703.0,705.0,707.0,706.0,706.0,706.0,708.0,707.0,708.0,710.0,710.0,709.0,708.0,710.0,712.0,712.0,711.0,711.0,712.0,711.0,712.0,712.0
HELGOLAND BINNENHAFEN,,596.0,600.0,601.0,603.0,603.0,604.0,604.0,604.0,603.0,604.0,605.0,605.0,604.0,604.0,604.0,605.0,604.0,604.0,605.0,604.0,603.0,604.0,605.0,605.0,605.0,604.0,604.0,605.0,605.0,606.0,608.0,609.0,608.0,608.0,608.0,608.0,610.0,611.0,612.0,611.0,611.0,611.0,612.0,613.0,613.0,613.0,613.0,614.0,614.0,615.0,616.0,616.0,617.0,617.0,618.0,619.0,619.0,618.0,617.0,617.0,617.0,617.0,617.0
HUSUM,647.0,650.0,650.0,650.0,651.0,650.0,650.0,650.0,649.0,649.0,650.0,650.0,650.0,649.0,649.0,650.0,652.0,652.0,653.0,654.0,654.0,652.0,654.0,655.0,655.0,655.0,654.0,654.0,655.0,656.0,658.0,660.0,661.0,661.0,661.0,662.0,662.0,664.0,664.0,666.0,665.0,665.0,664.0,665.0,666.0,666.0,666.0,666.0,667.0,667.0,668.0,668.0,669.0,669.0,669.0,670.0,671.0,671.0,670.0,669.0,670.0,670.0,670.0,670.0
HÖRNUM,580.0,582.0,582.0,582.0,582.0,582.0,582.0,582.0,582.0,581.0,582.0,583.0,583.0,582.0,582.0,583.0,585.0,585.0,585.0,586.0,585.0,584.0,585.0,587.0,586.0,586.0,585.0,585.0,586.0,587.0,589.0,590.0,592.0,592.0,592.0,593.0,593.0,595.0,595.0,596.0,595.0,595.0,594.0,595.0,595.0,595.0,595.0,596.0,597.0,597.0,598.0,599.0,599.0,600.0,600.0,602.0,603.0,604.0,603.0,602.0,603.0,603.0,603.0,603.0
KOLLMAR,637.0,641.0,642.0,642.0,644.0,644.0,645.0,645.0,643.0,643.0,644.0,645.0,644.0,643.0,643.0,644.0,645.0,645.0,646.0,647.0,646.0,644.0,646.0,647.0,647.0,646.0,646.0,647.0,648.0,649.0,652.0,655.0,657.0,657.0,658.0,659.0,660.0,661.0,662.0,663.0,661.0,660.0,659.0,661.0,662.0,662.0,662.0,662.0,663.0,662.0,663.0,664.0,664.0,664.0,663.0,665.0,666.0,666.0,665.0,665.0,666.0,666.0,667.0,667.0
