name,1971-12-31,1972-12-31,1973-12-31,1974-12-31,1975-12-31,1976-12-31,1977-12-31,1978-12-31,1979-12-31,1980-12-31,1981-12-31,1982-12-31,1983-12-31,1984-12-31,1985-12-31,1986-12-31,1987-12-31,1988-12-31,1989-12-31,1990-12-31,1991-12-31,1992-12-31,1993-12-31,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31
BELUM,644.0,633.0,650.0,649.0,649.0,640.0,649.0,649.0,648.0,656.0,666.0,656.0,663.0,646.0,650.0,647.0,650.0,660.0,654.0,655.0,645.0,653.0,653.0,659.0,661.0,641.0,650.0,659.0,659.0,656.0,654.0,656.0,653.0,655.0,653.0,656.0,665.0,654.0,649.0,651.0,657.0,654.0,652.0,651.0
BHV ALTER LEUCHTTURM,666.0,655.0,675.0,671.0,671.0,664.0,669.0,669.0,670.0,676.0,686.0,676.0,682.0,669.0,670.0,667.0,673.0,680.0,673.0,680.0,667.0,673.0,675.0,681.0,683.0,662.0,675.0,685.0,685.0,681.0,682.0,681.0,680.0,683.0,681.0,680.0,693.0,684.0,676.0,679.0,685.0,683.0,681.0,684.0
BORKUM SÜDSTRAND,598.0,592.0,601.0,602.0,600.0,596.0,602.0,600.0,601.0,604.0,610.0,606.0,612.0,598.0,603.0,601.0,601.0,604.0,604.0,609.0,597.0,601.0,600.0,606.0,607.0,594.0,602.0,611.0,610.0,609.0,608.0,606.0,607.0,609.0,606.0,605.0,610.0,605.0,601.0,602.0,606.0,606.0,605.0,609.0
BORKUM-FISCHERBALJE,602.0,597.0,610.0,608.0,606.0,601.0,607.0,606.0,607.0,609.0,614.0,610.0,616.0,605.0,609.0,607.0,610.0,617.0,613.0,618.0,607.0,612.0,612.0,616.0,618.0,605.0,613.0,621.0,621.0,618.0,619.0,616.0,617.0,619.0,617.0,618.0,623.0,620.0,615.0,616.0,620.0,618.0,616.0,620.0
BROKDORF,642.0,629.0,647.0,646.0,646.0,638.0,645.0,645.0,645.0,651.0,662.0,653.0,660.0,643.0,647.0,646.0,649.0,657.0,651.0,660.0,645.0,653.0,653.0,664.0,663.0,644.0,652.0,661.0,661.0,658.0,655.0,657.0,651.0,655.0,653.0,654.0,664.0,659.0,650.0,654.0,659.0,656.0,656.0,653.0
BÜSUM,649.0,640.0,656.0,655.0,654.0,647.0,654.0,655.0,657.0,663.0,668.0,663.0,673.0,655.0,655.0,654.0,656.0,667.0,660.0,671.0,656.0,660.0,656.0,662.0,663.0,648.0,658.0,667.0,667.0,665.0,664.0,663.0,662.0,664.0,660.0,661.0,670.0,664.0,657.0,658.0,665.0,663.0,659.0,662.0
CUXHAVEN/STEUBENHÖFT,642.0,631.0,648.0,647.0,647.0,640.0,647.0,648.0,648.0,654.0,662.0,654.0,660.0,645.0,648.0,646.0,650.0,658.0,650.0,660.0,643.0,648.0,649.0,658.0,659.0,640.0,650.0,657.0,658.0,655.0,654.0,656.0,653.0,656.0,653.0,653.0,663.0,658.0,649.0,653.0,656.0,653.0,651.0,652.0
DAGEBÜLL,619.0,614.0,628.0,627.0,626.0,619.0,626.0,625.0,626.0,631.0,636.0,636.0,642.0,629.0,632.0,628.0,628.0,642.0,636.0,645.0,632.0,634.0,631.0,638.0,639.0,624.0,633.0,643.0,644.0,645.0,639.0,639.0,639.0,645.0,641.0,643.0,649.0,647.0,637.0,635.0,645.0,640.0,637.0,640.0
EMDEN NEUE SEESCHLEUSE,631.0,624.0,642.0,639.0,637.0,632.0,638.0,639.0,639.0,643.0,651.0,644.0,653.0,641.0,645.0,640.0,641.0,648.0,643.0,650.0,638.0,643.0,645.0,651.0,651.0,631.0,642.0,653.0,652.0,649.0,652.0,648.0,648.0,651.0,648.0,645.0,655.0,649.0,644.0,646.0,651.0,647.0,645.0,651.0
GLÜCKSTADT,640.0,629.0,648.0,648.0,644.0,638.0,648.0,648.0,646.0,653.0,664.0,656.0,665.0,647.0,651.0,650.0,653.0,662.0,654.0,665.0,647.0,654.0,654.0,662.0,663.0,643.0,652.0,662.0,662.0,658.0,656.0,661.0,652.0,657.0,656.0,657.0,667.0,663.0,653.0,655.0,663.0,658.0,662.0,657.0
HAMBURG-ST.PAULI,680.0,667.0,687.0,692.0,693.0,683.0,700.0,701.0,700.0,710.0,722.0,706.0,714.0,697.0,699.0,699.0,706.0,711.0,701.0,714.0,696.0,702.0,707.0,716.0,718.0,692.0,703.0,715.0,713.0,709.0,710.0,716.0,704.0,711.0,710.0,710.0,723.0,712.0,705.0,712.0,716.0,711.0,715.0,708.0
HECHTHAUSEN,628.0,619.0,634.0,636.0,628.0,619.0,632.0,628.0,633.0,640.0,647.0,640.0,645.0,631.0,635.0,629.0,638.0,646.0,639.0,643.0,629.0,637.0,636.0,646.0,649.0,621.0,634.0,647.0,644.0,641.0,639.0,639.0,640.0,646.0,643.0,641.0,651.0,643.0,637.0,636.0,641.0,634.0,631.0,630.0
HELGOLAND BINNENHAFEN,602.0,596.0,609.0,609.0,607.0,604.0,608.0,606.0,605.0,608.0,612.0,611.0,617.0,603.0,603.0,607.0,611.0,620.0,614.0,620.0,607.0,610.0,611.0,616.0,615.0,605.0,613.0,619.0,620.0,621.0,619.0,616.0,617.0,620.0,617.0,618.0,623.0,616.0,611.0,613.0,619.0,616.0,614.0,618.0
HUSUM,651.0,641.0,661.0,659.0,658.0,651.0,657.0,658.0,659.0,663.0,669.0,667.0,673.0,657.0,659.0,657.0,661.0,673.0,667.0,677.0,662.0,665.0,662.0,670.0,669.0,653.0,664.0,676.0,677.0,674.0,670.0,668.0,667.0,671.0,667.0,668.0,676.0,674.0,666.0,666.0,676.0,673.0,667.0,671.0
HÖRNUM,583.0,579.0,590.0,592.0,585.0,581.0,589.0,588.0,591.0,592.0,599.0,598.0,602.0,591.0,592.0,591.0,589.0,601.0,595.0,603.0,590.0,595.0,592.0,600.0,599.0,585.0,594.0,604.0,605.0,606.0,601.0,601.0,600.0,604.0,600.0,603.0,608.0,607.0,600.0,597.0,607.0,603.0,599.0,603.0
KOLLMAR,644.0,633.0,652.0,651.0,650.0,642.0,653.0,655.0,654.0,661.0,671.0,661.0,670.0,654.0,655.0,656.0,661.0,668.0,659.0,670.0,652.0,658.0,658.0,671.0,672.0,649.0,659.0,669.0,668.0,665.0,664.0,668.0,658.0,664.0,663.0,665.0,676.0,667.0,662.0,665.0,671.0,668.0,671.0,666.0
LEUCHTTURM ALTE WESER,622.0,616.0,631.0,631.0,628.0,618.0,625.0,625.0,626.0,630.0,638.0,632.0,637.0,626.0,627.0,626.0,627.0,641.0,632.0,638.0,625.0,630.0,632.0,637.0,639.0,620.0,629.0,637.0,637.0,634.0,635.0,633.0,633.0,638.0,636.0,636.0,643.0,638.0,632.0,633.0,639.0,639.0,637.0,642.0
LIST,570.0,563.0,576.0,576.0,574.0,569.0,576.0,574.0,577.0,578.0,584.0,580.0,586.0,573.0,576.0,577.0,576.0,586.0,583.0,588.0,575.0,583.0,578.0,584.0,582.0,571.0,581.0,589.0,590.0,589.0,585.0,586.0,585.0,590.0,586.0,588.0,594.0,592.0,585.0,581.0,592.0,588.0,585.0,590.0
MELLUMPLATE,625.0,626.0,640.0,639.0,637.0,632.0,638.0,637.0,640.0,643.0,649.0,642.0,649.0,638.0,635.0,634.0,638.0,647.0,644.0,650.0,637.0,642.0,640.0,642.0,643.0,631.0,639.0,650.0,651.0,647.0,647.0,643.0,645.0,647.0,644.0,645.0,652.0,647.0,641.0,643.0,649.0,647.0,645.0,650.0
