name,1971-12-31,1976-12-31,1981-12-31,1986-12-31,1991-12-31,1996-12-31,2001-12-31,2006-12-31,2011-12-31,2016-12-31
BELUM,644.0,644.0,653.0,653.0,653.0,653.0,656.0,655.0,655.0,652.0
BHV ALTER LEUCHTTURM,666.0,667.0,674.0,673.0,675.0,675.0,682.0,681.0,683.0,683.0
BORKUM SÜDSTRAND,598.0,598.0,603.0,604.0,603.0,601.0,608.0,607.0,605.0,606.0
BORKUM-FISCHERBALJE,602.0,605.0,609.0,610.0,613.0,613.0,618.0,617.0,619.0,618.0
BROKDORF,642.0,641.0,650.0,650.0,652.0,655.0,657.0,654.0,657.0,655.0
BÜSUM,649.0,651.0,660.0,660.0,662.0,658.0,664.0,662.0,663.0,661.0
CUXHAVEN/STEUBENHÖFT,642.0,643.0,651.0,651.0,652.0,651.0,655.0,654.0,656.0,652.0
DAGEBÜLL,619.0,623.0,629.0,633.0,637.0,633.0,641.0,642.0,642.0,639.0
EMDEN NEUE SEESCHLEUSE,631.0,635.0,642.0,645.0,644.0,644.0,650.0,648.0,649.0,648.0
GLÜCKSTADT,640.0,642.0,652.0,654.0,656.0,655.0,658.0,656.0,660.0,659.0
HAMBURG-ST.PAULI,680.0,685.0,707.0,703.0,706.0,707.0,710.0,710.0,714.0,711.0
HECHTHAUSEN,628.0,627.0,636.0,636.0,639.0,638.0,641.0,642.0,642.0,631.0
HELGOLAND BINNENHAFEN,575.0,578.0,581.0,581.0,587.0,584.0,598.0,618.0,616.0,616.0
HUSUM,651.0,654.0,661.0,662.0,668.0,664.0,672.0,668.0,671.0,670.0
HÖRNUM,583.0,585.0,592.0,595.0,595.0,594.0,602.0,602.0,604.0,602.0
KOLLMAR,644.0,646.0,659.0,659.0,662.0,662.0,665.0,664.0,668.0,668.0
LEUCHTTURM ALTE WESER,622.0,625.0,629.0,630.0,633.0,632.0,635.0,635.0,637.0,639.0
LIST,570.0,572.0,578.0,578.0,581.0,580.0,587.0,587.0,589.0,587.0
MELLUMPLATE,625.0,635.0,641.0,640.0,643.0,639.0,647.0,645.0,646.0,647.0
MITTELGRUND,633.0,636.0,646.0,644.0,645.0,645.0,651.0,649.0,649.0,643.0
NORDENHAM,677.0,679.0,689.0,686.0,688.0,688.0,695.0,694.0,696.0,693.0
NORDERNEY RIFFGAT,608.0,612.0,618.0,616.0,617.0,617.0,623.0,622.0,623.0,621.0
PAPENBURG,659.0,664.0,675.0,677.0,680.0,680.0,688.0,690.0,692.0,689.0
POGUM,634.0,636.0,645.0,651.0,652.0,652.0,658.0,657.0,657.0,657.0
SCHARHÖRN,634.0,632.0,637.0,635.0,638.0,637.0,648.0,645.0,647.0,646.0
SCHULAU,660.0,664.0,684.0,682.0,686.0,686.0,689.0,690.0,694.0,692.0
STADERSAND,651.0,655.0,671.0,670.0,673.0,674.0,677.0,678.0,681.0,681.0
TÖNNING,646.0,627.0,610.0,606.0,612.0,595.0,621.0,633.0,621.0,611.0
WEENER,651.0,654.0,666.0,668.0,674.0,675.0,683.0,684.0,685.0,682.0
WHV ALTER VORHAFEN,666.0,669.0,677.0,677.0,681.0,680.0,686.0,684.0,686.0,685.0
WITTDÜN,610.0,612.0,617.0,618.0,621.0,622.0,627.0,628.0,627.0,624.0
Zollenspieker,711.0,718.0,748.0,738.0,745.0,744.0,747.0,750.0,754.0,752.0
